ID,classification,correct
1809,REAL,FAKE
1817,REAL,FAKE
1819,REAL,REAL
1826,REAL,FAKE
1829,REAL,REAL
1834,REAL,FAKE
1835,REAL,FAKE
1836,REAL,FAKE
1837,REAL,REAL
184,REAL,REAL
1842,REAL,REAL
1844,REAL,REAL
185,REAL,FAKE
1850,REAL,FAKE
1853,REAL,FAKE
1855,REAL,REAL
1860,REAL,FAKE
1861,REAL,FAKE
1862,REAL,REAL
1863,REAL,FAKE
1864,REAL,FAKE
187,REAL,REAL
1870,REAL,FAKE
1872,REAL,FAKE
1874,REAL,FAKE
1878,REAL,REAL
188,REAL,REAL
1890,REAL,FAKE
1899,REAL,FAKE
1904,REAL,FAKE
1906,REAL,FAKE
1912,REAL,REAL
1919,REAL,FAKE
1920,REAL,FAKE
1921,REAL,FAKE
1925,REAL,REAL
1926,REAL,REAL
1938,REAL,REAL
1943,REAL,FAKE
195,REAL,REAL
1959,REAL,REAL
1963,REAL,FAKE
1964,REAL,REAL
1978,REAL,FAKE
198,REAL,REAL
1980,REAL,FAKE
1988,REAL,REAL
1989,REAL,FAKE
1993,REAL,FAKE
200,REAL,FAKE
2000,REAL,REAL
2006,REAL,FAKE
2015,REAL,FAKE
2023,REAL,REAL
2025,REAL,REAL
203,REAL,FAKE
2032,REAL,FAKE
2037,REAL,REAL
2044,REAL,REAL
2050,REAL,REAL
2052,REAL,REAL
2053,REAL,FAKE
2054,REAL,REAL
2058,REAL,REAL
2066,REAL,REAL
2068,REAL,REAL
2071,REAL,FAKE
2078,REAL,REAL
2079,REAL,REAL
208,REAL,REAL
2089,REAL,FAKE
210,REAL,FAKE
2106,REAL,REAL
2108,REAL,FAKE
2110,REAL,REAL
2116,REAL,FAKE
2119,REAL,FAKE
2120,REAL,FAKE
2122,REAL,FAKE
2124,REAL,FAKE
2130,REAL,FAKE
2132,REAL,REAL
2133,REAL,FAKE
2134,REAL,FAKE
2136,REAL,FAKE
214,REAL,REAL
2141,REAL,FAKE
2142,REAL,REAL
2144,REAL,REAL
2145,REAL,FAKE
2148,REAL,REAL
2155,REAL,REAL
2162,REAL,REAL
2164,REAL,FAKE
2168,REAL,REAL
2169,REAL,REAL
2172,REAL,FAKE
2174,REAL,FAKE
2182,REAL,FAKE
2186,REAL,REAL
219,REAL,REAL
2190,REAL,FAKE
2192,REAL,FAKE
2195,REAL,REAL
2196,REAL,FAKE
2197,REAL,REAL
2200,REAL,REAL
2208,REAL,REAL
2211,REAL,FAKE
2215,REAL,FAKE
2219,REAL,FAKE
2220,REAL,FAKE
2230,REAL,REAL
2241,REAL,FAKE
2259,REAL,FAKE
2261,REAL,FAKE
2265,REAL,FAKE
2273,REAL,REAL
2284,REAL,REAL
2303,REAL,FAKE
2309,REAL,REAL
2310,REAL,FAKE
2315,REAL,FAKE
2326,REAL,REAL
2337,REAL,FAKE
2339,REAL,REAL
234,REAL,REAL
2344,REAL,FAKE
2346,REAL,FAKE
2349,REAL,FAKE
2350,REAL,REAL
2354,REAL,REAL
2362,REAL,FAKE
2369,REAL,FAKE
2375,REAL,FAKE
2380,REAL,FAKE
2415,REAL,REAL
2436,REAL,FAKE
2437,REAL,FAKE
2445,REAL,FAKE
2449,REAL,FAKE
2450,REAL,REAL
2452,REAL,FAKE
2456,REAL,FAKE
2458,REAL,REAL
246,REAL,REAL
2462,REAL,FAKE
2467,REAL,REAL
2488,REAL,REAL
2491,REAL,REAL
2493,REAL,FAKE
2497,REAL,REAL
2499,REAL,FAKE
2500,REAL,REAL
2511,REAL,REAL
2512,REAL,FAKE
2516,REAL,FAKE
2518,REAL,REAL
2519,REAL,REAL
2525,REAL,FAKE
253,REAL,FAKE
2532,REAL,FAKE
2536,REAL,REAL
2540,REAL,REAL
2541,REAL,REAL
2543,REAL,REAL
2550,REAL,FAKE
2553,REAL,REAL
2554,REAL,REAL
2556,REAL,FAKE
256,REAL,REAL
2561,REAL,REAL
2563,REAL,REAL
2566,REAL,REAL
2567,REAL,REAL
257,REAL,FAKE
2573,REAL,REAL
2575,REAL,REAL
2579,REAL,FAKE
2591,REAL,REAL
2595,REAL,FAKE
2596,REAL,FAKE
260,REAL,FAKE
2601,REAL,REAL
2602,REAL,FAKE
2604,REAL,REAL
2624,REAL,FAKE
2625,REAL,REAL
2645,REAL,REAL
265,REAL,FAKE
2654,REAL,REAL
2656,REAL,FAKE
2659,REAL,REAL
2660,REAL,REAL
2668,REAL,REAL
2672,REAL,REAL
2678,REAL,REAL
2681,REAL,REAL
2686,REAL,FAKE
2697,REAL,REAL
2700,REAL,FAKE
2704,REAL,FAKE
2705,REAL,FAKE
2706,REAL,FAKE
2708,REAL,FAKE
2721,REAL,FAKE
2724,REAL,REAL
2735,REAL,FAKE
2739,REAL,REAL
2747,REAL,FAKE
2748,REAL,FAKE
2749,REAL,FAKE
2751,REAL,FAKE
2758,REAL,REAL
2764,REAL,FAKE
2781,REAL,FAKE
2783,REAL,FAKE
2787,REAL,REAL
2788,REAL,REAL
2790,REAL,FAKE
2801,REAL,REAL
2804,REAL,FAKE
2808,REAL,REAL
2815,REAL,FAKE
2816,REAL,FAKE
2817,REAL,FAKE
282,REAL,REAL
2823,REAL,FAKE
2833,REAL,REAL
2835,REAL,FAKE
2842,REAL,FAKE
2854,REAL,FAKE
2855,REAL,REAL
2857,REAL,FAKE
2861,REAL,REAL
2869,REAL,REAL
288,REAL,REAL
2883,REAL,REAL
2884,REAL,FAKE
2886,REAL,REAL
2893,REAL,REAL
2896,REAL,REAL
2897,REAL,REAL
2900,REAL,FAKE
2902,REAL,REAL
2903,REAL,FAKE
2904,REAL,REAL
2905,REAL,FAKE
2906,REAL,FAKE
2907,REAL,REAL
2913,REAL,REAL
2916,REAL,REAL
2919,REAL,FAKE
2926,REAL,FAKE
2934,REAL,FAKE
294,REAL,REAL
2941,REAL,REAL
2943,REAL,REAL
2945,REAL,FAKE
2946,REAL,FAKE
2947,REAL,REAL
2968,REAL,REAL
2973,REAL,REAL
2974,REAL,REAL
2983,REAL,FAKE
2986,REAL,FAKE
2987,REAL,FAKE
2988,REAL,REAL
2995,REAL,REAL
2998,REAL,REAL
3004,REAL,FAKE
3013,REAL,REAL
3015,REAL,REAL
302,REAL,FAKE
3023,REAL,REAL
3025,REAL,FAKE
3026,REAL,FAKE
3027,REAL,REAL
3030,REAL,REAL
3038,REAL,REAL
3048,REAL,FAKE
3057,REAL,FAKE
3058,REAL,REAL
3059,REAL,FAKE
306,REAL,FAKE
3060,REAL,FAKE
3062,REAL,FAKE
3067,REAL,REAL
3068,REAL,REAL
3076,REAL,REAL
3078,REAL,REAL
3079,REAL,REAL
3082,REAL,REAL
3083,REAL,REAL
3087,REAL,FAKE
3088,REAL,FAKE
309,REAL,REAL
3090,REAL,REAL
3095,REAL,REAL
3100,REAL,REAL
3107,REAL,FAKE
3112,REAL,FAKE
3114,REAL,REAL
3115,REAL,FAKE
3123,REAL,REAL
3126,REAL,REAL
3128,REAL,REAL
3131,REAL,FAKE
3132,REAL,FAKE
3137,REAL,REAL
3138,REAL,FAKE
314,REAL,FAKE
3140,REAL,REAL
3142,REAL,REAL
3150,REAL,REAL
3156,REAL,REAL
3161,REAL,REAL
3170,REAL,REAL
3174,REAL,FAKE
3183,REAL,REAL
320,REAL,REAL
3204,REAL,FAKE
321,REAL,REAL
3210,REAL,REAL
3217,REAL,FAKE
3222,REAL,REAL
3229,REAL,FAKE
3240,REAL,REAL
3248,REAL,REAL
3254,REAL,REAL
3260,REAL,REAL
3261,REAL,REAL
3263,REAL,REAL
3268,REAL,FAKE
3270,REAL,REAL
3271,REAL,REAL
3272,REAL,FAKE
3278,REAL,FAKE
329,REAL,FAKE
3294,REAL,REAL
3297,REAL,REAL
3300,REAL,REAL
3302,REAL,FAKE
3305,REAL,REAL
3307,REAL,FAKE
3314,REAL,FAKE
3315,REAL,FAKE
3320,REAL,FAKE
3324,REAL,REAL
3327,REAL,FAKE
3346,REAL,FAKE
3349,REAL,FAKE
3351,REAL,REAL
3353,REAL,REAL
3362,REAL,FAKE
3364,REAL,REAL
3369,REAL,REAL
3370,REAL,REAL
3371,REAL,REAL
3373,REAL,FAKE
3374,REAL,REAL
3382,REAL,FAKE
3383,REAL,FAKE
3388,REAL,FAKE
3390,REAL,REAL
341,REAL,REAL
3412,REAL,REAL
3417,REAL,REAL
3426,REAL,REAL
3438,REAL,FAKE
3439,REAL,REAL
3448,REAL,REAL
3452,REAL,REAL
3455,REAL,REAL
3456,REAL,REAL
3459,REAL,FAKE
3460,REAL,REAL
3464,REAL,REAL
3472,REAL,FAKE
3476,REAL,FAKE
3477,REAL,FAKE
3481,REAL,FAKE
3482,REAL,FAKE
3489,REAL,FAKE
349,REAL,REAL
3490,REAL,REAL
3493,REAL,FAKE
3498,REAL,REAL
3502,REAL,REAL
3504,REAL,REAL
351,REAL,REAL
3516,REAL,FAKE
3520,REAL,REAL
3521,REAL,REAL
3523,REAL,REAL
353,REAL,REAL
3530,REAL,REAL
3534,REAL,REAL
3542,REAL,FAKE
3549,REAL,REAL
355,REAL,REAL
3550,REAL,FAKE
3551,REAL,FAKE
3555,REAL,REAL
3557,REAL,REAL
3566,REAL,REAL
3568,REAL,REAL
3572,REAL,FAKE
3573,REAL,REAL
3584,REAL,REAL
3587,REAL,FAKE
3592,REAL,FAKE
3594,REAL,REAL
3605,REAL,REAL
3607,REAL,REAL
3610,REAL,REAL
3616,REAL,REAL
3617,REAL,REAL
3618,REAL,REAL
3621,REAL,FAKE
3622,REAL,REAL
3625,REAL,FAKE
3626,REAL,FAKE
3630,REAL,REAL
3641,REAL,REAL
3642,REAL,FAKE
365,REAL,REAL
3650,REAL,FAKE
3655,REAL,REAL
3666,REAL,REAL
3672,REAL,REAL
3674,REAL,REAL
3678,REAL,FAKE
3679,REAL,FAKE
3680,REAL,FAKE
3681,REAL,REAL
3685,REAL,FAKE
3686,REAL,FAKE
3692,REAL,FAKE
3696,REAL,REAL
370,REAL,FAKE
3701,REAL,REAL
3702,REAL,FAKE
3703,REAL,REAL
3704,REAL,FAKE
3707,REAL,REAL
3709,REAL,FAKE
3718,REAL,REAL
3724,REAL,FAKE
3739,REAL,FAKE
3742,REAL,REAL
3745,REAL,FAKE
3747,REAL,REAL
375,REAL,REAL
3757,REAL,REAL
376,REAL,FAKE
3763,REAL,REAL
3764,REAL,FAKE
3775,REAL,FAKE
3777,REAL,REAL
3780,REAL,FAKE
3791,REAL,REAL
380,REAL,FAKE
3804,REAL,FAKE
3811,REAL,FAKE
3821,REAL,REAL
3826,REAL,REAL
3827,REAL,FAKE
383,REAL,REAL
3836,REAL,FAKE
3838,REAL,FAKE
3839,REAL,REAL
3843,REAL,FAKE
3848,REAL,REAL
385,REAL,FAKE
3850,REAL,REAL
3851,REAL,REAL
3854,REAL,FAKE
3856,REAL,FAKE
3859,REAL,FAKE
3866,REAL,FAKE
3871,REAL,REAL
3872,REAL,REAL
3875,REAL,FAKE
3883,REAL,FAKE
3894,REAL,REAL
390,REAL,FAKE
3902,REAL,REAL
3909,REAL,FAKE
3911,REAL,FAKE
3924,REAL,FAKE
3926,REAL,REAL
3934,REAL,REAL
394,REAL,REAL
3942,REAL,REAL
395,REAL,REAL
3958,REAL,REAL
3960,REAL,FAKE
3983,REAL,REAL
3996,REAL,REAL
4013,REAL,REAL
4019,REAL,FAKE
4021,REAL,FAKE
4030,REAL,REAL
4036,REAL,FAKE
404,REAL,FAKE
4043,REAL,FAKE
4046,REAL,FAKE
4052,REAL,REAL
4060,REAL,FAKE
4068,REAL,FAKE
407,REAL,REAL
4076,REAL,REAL
4095,REAL,REAL
4100,REAL,REAL
4104,REAL,FAKE
4106,REAL,REAL
4116,REAL,FAKE
4122,REAL,FAKE
4136,REAL,REAL
4137,REAL,REAL
4138,REAL,FAKE
4139,REAL,FAKE
4140,REAL,REAL
4146,REAL,REAL
4152,REAL,FAKE
4156,REAL,REAL
4162,REAL,REAL
4176,REAL,REAL
4177,REAL,FAKE
4178,REAL,REAL
4184,REAL,FAKE
4185,REAL,FAKE
419,REAL,REAL
4199,REAL,FAKE
4200,REAL,FAKE
4201,REAL,FAKE
4214,REAL,REAL
4221,REAL,FAKE
4241,REAL,FAKE
4244,REAL,FAKE
4245,REAL,FAKE
4247,REAL,FAKE
425,REAL,FAKE
4252,REAL,FAKE
4255,REAL,FAKE
4259,REAL,FAKE
4262,REAL,REAL
427,REAL,FAKE
4270,REAL,REAL
4271,REAL,REAL
428,REAL,REAL
4280,REAL,REAL
4283,REAL,REAL
4286,REAL,REAL
4288,REAL,REAL
4291,REAL,REAL
4300,REAL,REAL
4301,REAL,FAKE
4305,REAL,FAKE
4311,REAL,FAKE
4313,REAL,REAL
4316,REAL,REAL
4317,REAL,FAKE
4321,REAL,FAKE
4323,REAL,REAL
4326,REAL,FAKE
433,REAL,REAL
4331,REAL,REAL
4332,REAL,REAL
4335,REAL,FAKE
4336,REAL,FAKE
4348,REAL,REAL
435,REAL,REAL
4358,REAL,REAL
4366,REAL,REAL
4372,REAL,REAL
4375,REAL,REAL
438,REAL,FAKE
4382,REAL,FAKE
44,REAL,FAKE
4409,REAL,FAKE
4420,REAL,FAKE
4426,REAL,REAL
4430,REAL,REAL
4450,REAL,FAKE
4458,REAL,FAKE
446,REAL,FAKE
4462,REAL,REAL
4464,REAL,FAKE
4467,REAL,FAKE
4469,REAL,REAL
4470,REAL,REAL
4479,REAL,FAKE
4484,REAL,FAKE
449,REAL,FAKE
4491,REAL,FAKE
4495,REAL,FAKE
4497,REAL,FAKE
4498,REAL,FAKE
4499,REAL,REAL
45,REAL,FAKE
4500,REAL,FAKE
4501,REAL,FAKE
4508,REAL,FAKE
4512,REAL,FAKE
4514,REAL,REAL
4522,REAL,REAL
4536,REAL,REAL
4544,REAL,REAL
4554,REAL,FAKE
4556,REAL,REAL
4559,REAL,REAL
4561,REAL,REAL
4563,REAL,FAKE
458,REAL,FAKE
4580,REAL,REAL
4582,REAL,REAL
459,REAL,FAKE
4590,REAL,REAL
4591,REAL,FAKE
46,REAL,REAL
4604,REAL,REAL
4607,REAL,FAKE
4610,REAL,FAKE
4620,REAL,REAL
4638,REAL,REAL
4642,REAL,FAKE
4651,REAL,REAL
4654,REAL,REAL
4660,REAL,REAL
467,REAL,FAKE
4670,REAL,FAKE
4671,REAL,FAKE
4676,REAL,REAL
468,REAL,REAL
4686,REAL,REAL
4691,REAL,REAL
4693,REAL,REAL
4698,REAL,FAKE
4700,REAL,REAL
4701,REAL,REAL
4710,REAL,FAKE
4711,REAL,FAKE
4719,REAL,FAKE
4721,REAL,FAKE
4722,REAL,REAL
4728,REAL,REAL
4732,REAL,FAKE
4733,REAL,FAKE
4741,REAL,REAL
4752,REAL,REAL
4755,REAL,REAL
4758,REAL,FAKE
4767,REAL,REAL
4769,REAL,FAKE
4770,REAL,REAL
4771,REAL,FAKE
4784,REAL,REAL
4786,REAL,REAL
4788,REAL,FAKE
4789,REAL,FAKE
4790,REAL,FAKE
4798,REAL,REAL
4800,REAL,FAKE
4809,REAL,FAKE
481,REAL,FAKE
4817,REAL,REAL
4821,REAL,REAL
4835,REAL,FAKE
4837,REAL,REAL
484,REAL,REAL
4840,REAL,REAL
4843,REAL,REAL
4846,REAL,REAL
4848,REAL,FAKE
4864,REAL,REAL
4866,REAL,FAKE
4871,REAL,REAL
4874,REAL,FAKE
4876,REAL,FAKE
4881,REAL,REAL
4889,REAL,REAL
489,REAL,REAL
4896,REAL,FAKE
4903,REAL,FAKE
4907,REAL,FAKE
4908,REAL,REAL
4909,REAL,FAKE
4912,REAL,FAKE
492,REAL,REAL
4922,REAL,REAL
4932,REAL,REAL
4936,REAL,REAL
4940,REAL,FAKE
4967,REAL,FAKE
4969,REAL,FAKE
497,REAL,REAL
4976,REAL,FAKE
4977,REAL,FAKE
499,REAL,FAKE
4991,REAL,REAL
4994,REAL,REAL
4997,REAL,REAL
5000,REAL,FAKE
5012,REAL,REAL
5016,REAL,REAL
5019,REAL,FAKE
5024,REAL,REAL
5026,REAL,REAL
5033,REAL,REAL
5034,REAL,REAL
5037,REAL,FAKE
5042,REAL,REAL
5046,REAL,FAKE
5047,REAL,FAKE
5048,REAL,FAKE
505,REAL,FAKE
5055,REAL,FAKE
5056,REAL,REAL
5076,REAL,REAL
5082,REAL,FAKE
5083,REAL,FAKE
5084,REAL,REAL
5089,REAL,FAKE
5097,REAL,FAKE
510,REAL,FAKE
5108,REAL,REAL
5110,REAL,REAL
5112,REAL,REAL
5114,REAL,FAKE
5115,REAL,FAKE
5116,REAL,REAL
5127,REAL,FAKE
5129,REAL,REAL
5135,REAL,REAL
5136,REAL,FAKE
5139,REAL,FAKE
5151,REAL,REAL
5152,REAL,REAL
516,REAL,REAL
5161,REAL,REAL
5167,REAL,REAL
5170,REAL,REAL
5176,REAL,FAKE
5179,REAL,REAL
5180,REAL,FAKE
5182,REAL,REAL
5183,REAL,REAL
5190,REAL,REAL
5191,REAL,FAKE
5204,REAL,FAKE
5205,REAL,FAKE
5207,REAL,FAKE
5210,REAL,REAL
5213,REAL,FAKE
5225,REAL,REAL
5229,REAL,FAKE
5230,REAL,FAKE
5237,REAL,FAKE
5242,REAL,FAKE
5250,REAL,REAL
5256,REAL,FAKE
5262,REAL,FAKE
5266,REAL,REAL
5275,REAL,FAKE
5283,REAL,REAL
5288,REAL,REAL
529,REAL,REAL
5295,REAL,REAL
53,REAL,REAL
5300,REAL,REAL
5302,REAL,REAL
5314,REAL,REAL
5318,REAL,REAL
5325,REAL,REAL
5334,REAL,REAL
5335,REAL,FAKE
5340,REAL,REAL
5341,REAL,FAKE
5345,REAL,FAKE
5350,REAL,FAKE
5351,REAL,FAKE
5353,REAL,REAL
5355,REAL,REAL
5359,REAL,REAL
5363,REAL,FAKE
5365,REAL,REAL
5371,REAL,FAKE
5375,REAL,FAKE
5383,REAL,REAL
5385,REAL,REAL
5386,REAL,REAL
5388,REAL,FAKE
5389,REAL,FAKE
5390,REAL,REAL
5393,REAL,REAL
5410,REAL,REAL
5411,REAL,FAKE
5418,REAL,REAL
5419,REAL,FAKE
542,REAL,FAKE
5420,REAL,REAL
5425,REAL,FAKE
5426,REAL,FAKE
5440,REAL,FAKE
5441,REAL,FAKE
5443,REAL,FAKE
5454,REAL,FAKE
546,REAL,REAL
5462,REAL,FAKE
5464,REAL,REAL
5465,REAL,REAL
547,REAL,FAKE
5475,REAL,FAKE
5479,REAL,FAKE
5481,REAL,REAL
5486,REAL,REAL
5490,REAL,FAKE
5491,REAL,FAKE
5497,REAL,REAL
5500,REAL,REAL
5505,REAL,REAL
5507,REAL,REAL
5511,REAL,REAL
5516,REAL,FAKE
5520,REAL,FAKE
5521,REAL,REAL
5522,REAL,REAL
5526,REAL,FAKE
5535,REAL,REAL
5538,REAL,REAL
554,REAL,FAKE
5544,REAL,FAKE
5545,REAL,FAKE
5547,REAL,FAKE
555,REAL,REAL
5556,REAL,FAKE
5590,REAL,REAL
5591,REAL,FAKE
5592,REAL,FAKE
5593,REAL,REAL
5595,REAL,REAL
5597,REAL,REAL
5615,REAL,REAL
5622,REAL,FAKE
5628,REAL,FAKE
5629,REAL,REAL
5630,REAL,FAKE
5642,REAL,REAL
5652,REAL,FAKE
5656,REAL,REAL
5659,REAL,FAKE
5674,REAL,FAKE
5676,REAL,FAKE
5679,REAL,REAL
5682,REAL,REAL
5689,REAL,REAL
5692,REAL,FAKE
5695,REAL,REAL
5699,REAL,REAL
57,REAL,REAL
5701,REAL,FAKE
5702,REAL,FAKE
572,REAL,REAL
5723,REAL,REAL
5731,REAL,REAL
5732,REAL,REAL
5742,REAL,FAKE
5756,REAL,FAKE
5757,REAL,REAL
576,REAL,FAKE
5763,REAL,FAKE
5767,REAL,REAL
577,REAL,FAKE
5773,REAL,REAL
5774,REAL,FAKE
5775,REAL,FAKE
5776,REAL,FAKE
5783,REAL,REAL
5784,REAL,REAL
5786,REAL,FAKE
5789,REAL,FAKE
579,REAL,FAKE
5790,REAL,FAKE
5791,REAL,REAL
5794,REAL,REAL
5796,REAL,REAL
5801,REAL,FAKE
5802,REAL,FAKE
5803,REAL,FAKE
5805,REAL,FAKE
5807,REAL,FAKE
5808,REAL,REAL
5811,REAL,FAKE
5813,REAL,REAL
5822,REAL,REAL
5825,REAL,REAL
5828,REAL,FAKE
5839,REAL,FAKE
5842,REAL,FAKE
5858,REAL,FAKE
5860,REAL,REAL
5865,REAL,REAL
5866,REAL,REAL
5870,REAL,FAKE
5873,REAL,FAKE
5874,REAL,REAL
5879,REAL,FAKE
5882,REAL,FAKE
5886,REAL,FAKE
5889,REAL,FAKE
5893,REAL,REAL
5895,REAL,FAKE
5899,REAL,REAL
5907,REAL,REAL
5922,REAL,FAKE
5935,REAL,REAL
5941,REAL,REAL
5942,REAL,REAL
5946,REAL,FAKE
5947,REAL,FAKE
5964,REAL,REAL
5966,REAL,FAKE
5973,REAL,FAKE
5987,REAL,FAKE
599,REAL,FAKE
5992,REAL,REAL
5996,REAL,FAKE
5997,REAL,REAL
6004,REAL,FAKE
6007,REAL,FAKE
6013,REAL,REAL
6017,REAL,REAL
6023,REAL,FAKE
6025,REAL,FAKE
6033,REAL,REAL
6034,REAL,REAL
6036,REAL,FAKE
6039,REAL,FAKE
6042,REAL,REAL
6057,REAL,FAKE
6071,REAL,FAKE
6078,REAL,REAL
6079,REAL,FAKE
6083,REAL,FAKE
6084,REAL,FAKE
6085,REAL,FAKE
6090,REAL,REAL
61,REAL,REAL
610,REAL,REAL
6101,REAL,REAL
6105,REAL,REAL
6111,REAL,FAKE
6122,REAL,REAL
6127,REAL,REAL
6128,REAL,FAKE
6132,REAL,FAKE
6134,REAL,FAKE
6138,REAL,FAKE
6141,REAL,REAL
6143,REAL,FAKE
616,REAL,FAKE
6160,REAL,FAKE
6164,REAL,FAKE
6173,REAL,FAKE
6177,REAL,FAKE
6189,REAL,REAL
620,REAL,REAL
6204,REAL,FAKE
6209,REAL,REAL
6216,REAL,FAKE
6223,REAL,FAKE
6224,REAL,FAKE
6225,REAL,FAKE
6226,REAL,REAL
6227,REAL,FAKE
6246,REAL,FAKE
6247,REAL,REAL
6248,REAL,FAKE
6249,REAL,FAKE
625,REAL,REAL
6253,REAL,FAKE
6255,REAL,FAKE
6267,REAL,FAKE
627,REAL,FAKE
6272,REAL,REAL
6275,REAL,REAL
6277,REAL,REAL
6288,REAL,REAL
6293,REAL,REAL
6300,REAL,REAL
6311,REAL,REAL
6315,REAL,FAKE
6319,REAL,FAKE
6323,REAL,FAKE
6326,REAL,REAL
6327,REAL,FAKE
633,REAL,FAKE
6330,REAL,FAKE
6333,REAL,FAKE
6336,REAL,REAL
635,REAL,REAL
637,REAL,REAL
638,REAL,REAL
64,REAL,REAL
648,REAL,REAL
660,REAL,FAKE
671,REAL,REAL
674,REAL,FAKE
68,REAL,REAL
680,REAL,REAL
684,REAL,FAKE
685,REAL,REAL
7,REAL,FAKE
70,REAL,REAL
707,REAL,FAKE
718,REAL,REAL
72,REAL,REAL
732,REAL,REAL
736,REAL,REAL
737,REAL,FAKE
749,REAL,FAKE
75,REAL,REAL
756,REAL,REAL
767,REAL,REAL
770,REAL,FAKE
772,REAL,FAKE
773,REAL,FAKE
786,REAL,FAKE
789,REAL,FAKE
791,REAL,FAKE
799,REAL,REAL
